"jobtitle","company","location","salary","companysize","companyrating","summary"
"Data Scientist","Brand Networks","Rochester, NY 14614 (Central Business District area)","NA",3,52.8,"NA"
"Data Scientist","Apria Healthcare","Lake Forest, CA 92630","NA",nan,40.2,"NA"
"Data Scientist","Expedia","Bellevue, WA 98004 (Downtown area)","NA",437,51.0,"NA"
"Data Scientist","Silo","California","NA",13,53.4,"NA"
"Data Science Specialist","Unilever","Englewood Cliffs, NJ","NA",nan,52.2,"NA"
"Data Scientist, Commercial Strategy - Home Entertainment","Sony Pictures Entertainment Inc.","Culver City, CA 90232","NA",234,52.2,"NA"
"Model Validation/Quantitative Analyst","Storm Global Analytics","New York, NY","NA",nan,nan,"Competency programming in languages such as SAS, R or Python. Demonstrated project management capabilities...."
"Data Scientist","Silicon Valley Bank","Tempe, AZ 85281","NA",60,51.0,"In order to design and create information foundation, data scientists identifies and explores relevant data sources, and create business understanding of the..."
"Machine Learning Engineer - Clueless","1871","Chicago, IL","$110,000 - $115,000 a year",3,52.8,"Clueless seeks an expert in the field of machine learning to work on state-of-the-art classification algorithm...."
"Full Stack Web Developer - Biotech","Genomic Prediction Inc","North Brunswick, NJ","$50 - $150 an hour",nan,nan,"You will be working together with a team of bioinformaticians and other scientists and to do your job, you will need to acquire substantial knowledge about what..."
"Data Science Evangelist","Mode","San Francisco, CA","NA",21,52.2,"Mode changes how people leverage data by equipping analysts and data scientists with powerful tools to explore data and deliver insights to every corner of..."
"Data Scientist","Strayer University","Herndon, VA 20171","NA",360,41.4,"A job opportunity for a data scientist with a passion for solving real world problems using Machine Learning (ML), Artificial Intelligence (AI) and software..."
"Analyst/R Programmer/Data Scientist","Frank N. Magid Associates, Inc.","Los Angeles, CA","NA",nan,nan,"NA"
"Data Engineer","Tesla Motors","Palo Alto, CA","NA",545,43.2,"You would have the opportunity to utilize advanced data mining techniques, descriptive and predictive analytics, machine learning, and optimization algorithms..."
"Data Scientist","Jamf","Minneapolis, MN 55417 (Wenonah area)","NA",nan,nan,"Using statistical and algorithmic analysis and data mining, the Data Scientist at Jamf is responsible for modeling complex business problems, discovering..."
"Data Scientist (Underwriting), Velogica","SCOR","Charlotte, NC","NA",42,40.2,"Ability to turn information into business insights, analyse trends and how to compare or combine relevant data sets...."
"Data Science College Intern","Zappos.com, Inc.","Las Vegas, NV 89101 (Cultural Corridor area)","NA",191,51.6,"This could include writing SQL, analyzing trends, manipulating data in an environment like R or Python, building machine learning models, helping derive new..."
"Data Analyst","McKesson","Alpharetta, GA 30005","NA",nan,43.2,"By providing critical analytics support, they will work with Technologists, Data Scientists and Data Engineers to develop insights and analytic models to help..."
"Data Science Sourcing Specialist (Recruiting)","Two Sigma Investments, LLC.","New York, NY","NA",5,43.8,"As a sourcer on this team you will have the opportunity to work closely with recruiters and hiring managers to develop and execute tactical sourcing strategies..."
"Data Scientist","National Geospatial-Intelligence Agency","Springfield, VA","$52,329 - $129,553 a year",92,52.2,"Data Management, Data Engineering, Data Science, Computer Science, Software Engineering, Statistics, Applied Mathematics, Applied Physics, Econometrics, UX/UI..."
"Business Intelligence - Tableau Visualization","Aetna","Hartford, CT 06156","NA",nan,43.8,"Healthcare data and analytics experience, preferably in provider analytics, is desirable. Significant experience in turning data into business intelligence..."
"Information Scientist","PNC Financial Services Group","Cleveland, OH 44101 (Central area)","NA",nan,43.2,"Data Mining - Extensive Experience. Knowledge of tools, techniques and practices in data mining technologies used to acquire essential business information...."
"Data Scientist Team Lead","Bank of America","Charlotte, NC 28255 (Wilmore area)","NA",nan,44.4,"NA"
"Data Scientist, Content & Data Product Strategy","Tastemade","Santa Monica, CA","NA",nan,nan,"Strong ability to communicate insights, focus on results, and driving organizational change through data and insights...."
"Applied Data Science Product Engineer","Esri","Vienna, VA","NA",72,44.4,"The product engineer for applied data science will perform a wide variety of statistical and analytical techniques using the ArcGIS API for Python and other Web..."
"Data Analyst (3374) with Zimmerman Advertising","Zimmerman Advertising","Fort Lauderdale, FL","NA",42,32.4,"NA"
"FDLE-DATA BASE ANALYST - 71001444 with MyFlorida","MyFlorida","Tallahassee, FL","NA",nan,nan,"NA"
"Quantitative Analyst","Cognizant","New York, NY","NA",nan,51.0,"NA"
"Assistant Scientific Researcher","California Institute of Technology","Pasadena, CA 91125","NA",74,51.6,"Applicants should have demonstrated skills in scientific programming, statistical analysis, and data visualization...."
"ERP Data Analyst with Adventist Health System","Adventist Health System","Altamonte Springs, FL","NA",464,43.8,"NA"
"Business Engineer, Data Science","CCC Information Services Inc.","Chicago, IL 60654 (Loop area)","NA",43,43.8,"NA"
"Quantitative Analyst","Santander Bank","Boston, MA","NA",532,42.0,"NA"
"VIE - Data Scientist - Boston H/F","Schneider Electric","Andover, MA 01810","NA",nan,51.0,"NA"
"Quantitative Analyst","Huxley Banking & Financial Services","Boston, MA","NA",nan,nan,"NA"
"Audio Machine Learning Engineer","Cirrus Logic","Draper, UT","NA",25,52.8,"NA"
"Data Scientist II","AbbVie","Lake County, IL","NA",334,51.6,"NA"
"Data Scientist","The Goal Inc.","Tampa, FL","NA",nan,nan,"NA"
"Machine Learning Engineer / Ads Team","Intellipro Group Inc.","Santa Clara, CA","NA",nan,nan,"NA"
"ASSOC DATA SCIENTIST","Greenville Health System","Greenville, SC","NA",257,43.2,"NA"
"Mathematical Statistician","Department of Housing And Urban Development","Washington, DC","$79,720 - $123,234 a year",33,52.8,"NA"
"Data Scientist","CGI","Lafayette, LA","NA",nan,43.2,"NA"
"Data Scientist - Full time Position","Priserve Consulting","Hoboken, NJ","NA",2,54.0,"NA"
"Data Analyst - UberEVERYTHING Product Ops","Uber","San Francisco, CA 94103 (South Of Market area)","NA",214,44.4,"NA"
"Data Scientist, Mid","Assured Consulting Solutions","Washington, DC","NA",nan,nan,"NA"
"Professional, Data Scientist","CoreLogic","San Diego, CA 92131","NA",450,42.0,"NA"
"Analyst","Squarespace","New York, NY 10014 (West Village area)","NA",15,55.2,"Identify opportunities to scale solutions to common problems and collaborate with data scientists to implement them...."
"Data Scientist","Teaching Strategies, LLC","Bethesda, MD 20814","NA",nan,nan,"NA"
"Data Scientist","Sitecore","Sausalito, CA","NA",3,51.0,"NA"
"Cyberspace Data Scientist","Metova","Augusta, GA","NA",4,43.8,"NA"
"Data Scientist","Analytical Consulting Group, LLC","Springfield, VA","NA",nan,nan,"NA"
"Associate Data Scientist-ISD","Walmart","Bentonville, AR 72712","NA",nan,42.6,"NA"
"Data Scientist, Fraud","Fiserv","Alpharetta, GA","NA",nan,42.0,"NA"
"R/Shiny Developer/Data Scientist","Snap Finance","Salt Lake City, UT","NA",3,52.8,"NA"
"Data Scientist with NLP (Fulltime - NJ/Germany/India)","Oncorre Inc","Montvale, NJ","NA",nan,nan,"NA"
"Data Scientist","Pragmatics","Suitland, MD","NA",19,43.8,"NA"
"Data Scientist","NVIDIA","Santa Clara, CA","NA",137,52.2,"NA"
"Data Scientist","Aruba Networks","Santa Clara, CA","NA",34,51.6,"NA"
"Data Scientist Analyst","Waste Management","Houston, TX","NA",nan,42.6,"NA"
"Research Scientist","University of Utah","Salt Lake City, UT","$47,600 - $90,400 a year",322,52.8,"Summarizes results of clinical studies in the form of scientific abstracts and manuscripts. Researches and stays current with project related scientific..."
"Machine Learning Deployment Engineer, Professional Services,...","Google","Chicago, IL 60607 (Near West Side area)","NA",nan,52.8,"NA"
"Principal Engineer - Machine Learning","Medtronic","Boulder, CO","NA",nan,51.0,"NA"
"Data Scientist","Hertz","Estero, FL 33928","NA",nan,41.4,"NA"
"Data Science-Machine Learning Specialist","ManTech International Corporation","Alexandria, VA","NA",846,51.0,"NA"
"Data Science Expert","SAP","Newtown Square, PA","NA",874,52.8,"NA"
"Data Scientist","Trinity Health","Livonia, MI","NA",144,42.0,"NA"
"Data Scientist","Nelnet","Highlands Ranch, CO","NA",190,43.2,"NA"
"Data Scientist","NinthDecimal","Mountain View, CA","NA",2,51.0,"NA"
"Data Scientist","Diaspark","Manhattan, NY","NA",26,44.4,"NA"
"Staff ML Engineer","Visa","Austin, TX","NA",439,51.0,"NA"
"NA","KOCH INDUSTRIES INC","Atlanta, GA 30303 (Five Points area)","NA",14,39.6,"NA"
"Data Scientist","Blue State Digital","New York, NY","NA",5,53.4,"NA"
"Big Data Scientist - AWS and Spark","Linux Academy","Keller, TX","NA",nan,nan,"NA"
"Data Scientist","Trusted Insight, Inc.","San Francisco, CA","NA",nan,nan,"NA"
"Data Scientist, Supply Chain Optimization","Sears Holdings Management Corporation","Hoffman Estates, IL 60179","NA",nan,41.4,"NA"
"Machine Learning Scientist/Engineer","AM Pierce & Associates","Patuxent River, MD","NA",3,60.0,"NA"
"Data Scientist - Contract","Clarity Insights","United States","NA",4,42.0,"NA"
"Data Scientist","Skillz Inc.","San Francisco, CA","NA",nan,nan,"NA"
"Senior Associate, Data Science","Capital One","Plano, TX","NA",nan,51.0,"NA"
"Machine Learning Engineer","Mozaic Group Inc.","Wilmington, DE","NA",nan,nan,"NA"
"Data Analyst","General Dynamics Information Technology","Little Rock, AR","NA",nan,43.8,"NA"
"Machine Learning Engineer","HDS","Palo Alto, CA","NA",30,51.0,"NA"
"Data Scientist - Transformation","Newell Brands","Atlanta, GA","NA",698,42.6,"NA"
"Research Scientist - Institute of Deep Learning","Baidu USA","Sunnyvale, CA 94089","NA",nan,nan,"Baidu Institute of Deep Learning has an agile team of scientists and experienced machine learning practitioners...."
"Data scientist","Even","Oakland, CA","NA",94,51.0,"You have spent at least three years working as a data scientist. A remarkably talented and supportive team of peers to help you grow as a data scientist...."
"Senior Director of Data Enablement","FireEye","Remote","NA",49,42.6,"You will be expected to prove out your ideas by building proof of concepts, working with subject matter experts to refine models, working with software..."
"Data Scientist II","Comcast","Philadelphia, PA 19103 (Belmont area)","NA",nan,43.8,"Uses analytical rigor and statistical methods to analyze large amounts of data, extracting actionable insights using advanced statistical techniques such as..."
"Data Scientist 5","Salient CRGT","Rockville, MD","NA",17,42.0,"Provide high level expertise in applicable public health disciplines to collect, abstract, code, analyze, or interpret scientific data contained within..."
"Data Scientist - Biostatistician w/ SAS Programming I","Tunnell Consulting","New Jersey","NA",nan,nan,"Data Scientist, Global Medical Affairs and Data Mining. High level of proficiency in statistical analysis, quantitative analytics, and predictive analytics,..."
"Data Analyst","xentity corporation","Denver, CO","NA",2,60.0,"We are looking for data analysts, data wranglers, data scientists with excellent leadership, technical, and subject matter expertise qualities...."
"Commerce Data Scientist, Apple Media Products","Apple","Santa Clara Valley, CA","NA",nan,52.2,"This position involves working on very large scale data mining, cleaning, analysis, deep level processing, machine learning or statistic modeling, metrics..."
"Data Scientist 5","CRGT Inc.","Rockville, MD","NA",52,41.4,"Provide high level expertise in applicable public health disciplines to collect, abstract, code, analyze, or interpret scientific data contained within..."
"Reliability and Statistics Analyst","The Aerospace Corporation","El Segundo, CA 90245","NA",59,51.6,"Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world. The Aerospace Corporation has provided independent..."
"Data Scientist","Meetup","New York, NY 10012 (Little Italy area)","NA",3,55.2,"3+ years working with data analytics, data warehousing practices, ETL pipelines, experimentation, and modeling...."
"Vans Data Scientist","Vans","Costa Mesa, CA 92627","NA",400,51.6,"Vans Data Scientist :. As the Data Scientist, Retail Analytics you and your efforts will provide exceptional leadership in the development and execution of..."
"Associate Data Scientist I/II","BioFire Diagnostics, LLC.","Salt Lake City, UT","NA",nan,nan,"Knowledge of machine learning tools, basic statistics, data visualization techniques and databases (SQL). The candidate will be embedded in the Data Analytics..."
"Data Scientist, Feature Engineering","AdRoll","San Francisco, CA 94103 (South Of Market area)","NA",7,51.0,"Deep understanding of statistics and data science. Partner with Engineering to design our data and analytics tools...."
"IDeaS Research Statistician","SAS Institute","Cary, NC","$110,500 - $163,120 a year",93,51.0,"Statistical computing and machine learning methods; Programming in C, C++, FORTRAN or similar scientific programming language...."
"Artificial Intelligence (AI)/ Machine Learning (ML) IT Resea...","UBS","Weehawken, NJ","NA",nan,44.4,"Background in Machine Learning and Statistics / data science, experience in toolsets like Python/R, development/rapid prototyping and UX a plus...."
"Data Scientist","Evans & Chambers Technology","Springfield, VA","NA",nan,nan,"This position is for a highly-skilled Data Scientist to support the deployment and evolution of a core web application and data workflow...."
"Lead Data Analyst - Research Scientist 3","State of Minnesota","Saint Paul, MN","$29.00 - $43.13 an hour",178,43.8,"Function as subject matter expert for data analysis and investigation projects so that billing and overpayment claims and related data analyses are completed on..."
"Data Scientist","Riverside Research","Washington, DC","NA",7,53.4,"Python, C++, R, and/or Interactive Data Language. 3 years of experience integrating data mining, conditioning, and analysis using some of the following software..."
"Data Analyst/Scientist","QIAGEN","Waltham, MA","NA",32,43.8,"Day to day, you will be doing signal analysis, data mining, ad-hoc analysis, data visualization, software engineering, and discussions on how the your results..."
"Inventory Analyst 1st Shift","McCormick","South Bend, IN","NA",87,51.0,"Under the direction of the Materials Manager, the Inventory Analyst works with others to manage the inventory master data, providing reports and eliminating..."
"Data Scientist","Deloitte","Lexington Park, MD","NA",nan,51.0,"NA"
"Data Scientist - Business Operations (89781)","Lam Research","Fremont, CA 94538 (Irvington area)","NA",174,44.4,"In this role, you will support the global field operations (GFO) group and regions by providing analytical insights, predictive models, and fast response to..."
"Machine Learning and AI Team","Maxeler Technologies","Mountain View, CA","NA",nan,nan,"NA"
"Data Scientist - Intel","Leidos","Reston, VA 20191","NA",284,43.8,"Is familiar with disciplines such as Natural Language Processing, Machine Learning, Predictive modeling, Statistical Analysis and Hypothesis testing...."
"Data Analyst","Wunderman","Seattle, WA","NA",74,43.8,"All-around talent, you can think through a complex business problem and solve it Strong SQL coding skills Proficiency in advanced quantitative/statistical..."
"Data Scientist","Brandless","San Francisco, CA","NA",nan,nan,"You will be encouraged to apply relevant statistical analysis, machine learning and utilization of complex modeling to unlock and help us grow our business...."
"Computer Vision Data Scientist","Facebook","Redmond, WA","NA",189,52.2,"As a Data Scientist for Oculus Research Eye Tracking team, you will advance the state of human tracking technologies through rigorous scientific method...."
"Data Scientist","Discovery Communications, LLC","New York, NY","NA",233,52.2,"Act as a key partner to Data Scientists on solving technical challenges. Design and implement systems for large-scale data analysis and machine learning...."
"Data Scientist","WESTAT","Rockville, MD 20850","NA",244,51.6,"Development and testing may be done in R, Python or other statistical software with a longer term goal of translating the solutions into specifications that can..."
"Data Scientist","ThreatMetrix","United States","NA",2,39.0,"Your experience with data analysis, statistical modeling, and supervised machine learning will lead to immediate real-world impact in the form of increased..."
"Data Scientist II","Ellie Mae","Pleasanton, CA 94588","NA",11,52.8,"Your primary focus will be in applying data mining techniques, doing statistical analysis, and building high quality prediction systems integrated with our..."
"Data Scientist","eBay Inc.","San Jose, CA","NA",779,51.0,"The leader would have to strike a balance between being able to guide and influence the thinking and vision of the overall team while at the same time be..."
"Research Scientist, News Feed Science","Facebook","New York, NY","NA",189,52.2,"2+ years experience solving applied problems using data science methods including machine learning, surveying, experimentation, simulation, visualization, and..."
"Data Scientist","2U","New York, NY","NA",6,43.2,"Data exploration to identify drivers & trends within our business. Under the guidance of the Director of Data Science, the Data Scientist will lead advanced..."
"Senior Statistical Programmer II","Shire Pharmaceuticals","Lexington, MA","$128,000 - $141,000 a year",258,43.2,"Coordinate statistical programming activities of a clinical study by managing project timelines, delegating assignments, and scheduling deliverables;..."
"Data Scientist","Central Intelligence Agency","Washington, DC","$62,338 - $119,794 a year",112,53.4,"Data Scientists organize and interpret Big Data to inform US decision makers, drive successful operations and shape CIA technology and resource investments...."
"Jr. Data Scientist Job","SAIC","Aberdeen, MD","NA",nan,51.6,"Data Scientist (Job Number:. Works with the full open source Hadoop stack from cluster management, to data repositories, to analytics software, to schedulers...."
"Sr Data Scientist - Advanced Analytics and Emerging Technolo...","Anadarko Petroleum Corporation","The Woodlands, TX","NA",184,53.4,"As part of the Data Science & Advanced Analytics team, the Data Scientists specializing in Artificial Intelligence and/or Machine Learning will bring their..."
"Lead Data Scientist/ Subject Matter Expert (SME)","MacAulay-Brown, Inc. (MacB)","Rochester, NY","NA",68,52.8,"They will utilize their expertise in machine learning, statistical data analytics, and predictive analytics to help implement analytics tied to cyber security..."
"Data Scientist, E&I Clinical Quality","UnitedHealth Group","Eden Prairie, MN 55344","NA",nan,43.2,"Data scientist, machine learning, predictive analytics, SAS, Python, R studio, Atlanta, GA, Georgia, telecommute, UnitedHealth Group, UHG, UnitedHealthcare, UHC..."
"Quantitative Research Analyst","Invesco","Boston, MA 02111 (Central area)","NA",219,51.0,"Must be familiar with econometric software (preferably R) and have programming skills. Investigate the acquisition and quality assurance of new data sources...."
"Data Scientist (Operations Engineering)","SoCore Energy","Chicago, IL","NA",nan,nan,"Remain up-to-date on new technologies, trends, and industry standards for production modeling to ensure installations are compliant with industry best practices..."
"Marketing Data Scientist","FICO","Roseville, MN","NA",91,43.2,"End-to-end experience applying statistical and machine learning in a production environment, including ETL, data quality analysis, model validation and scoring...."
"Research Scientist, Computer Science","University of Arizona","Tucson, AZ","NA",329,53.4,"The Research Scientist will conduct specialized research in the fields of natural language processing, computational linguistics, and applied machine learning..."
"MACHINE LEARNING (and in particular DEEP LEARNING) ENGINEER","GRAIL, Inc.","Menlo Park, CA","NA",nan,nan,"GRAIL is using the power of high-intensity sequencing, population-scale clinical trials, and state of the art Computer Science and Data Science to enhance the..."
"R&D Yield Enhancement Data Analysis Engineer","Micron","Boise, ID","NA",354,44.4,"The right candidate will have an intermediate understanding of device physics as well as familiarity with semiconductor manufacturing and statistical analysis..."
"Global Supply Chain Data Scientist","MONSANTO","St. Louis, MO","NA",nan,52.2,"This position is for a Data Scientist to work on operations research within our Global Supply Chain Analytics team...."
"Data Scientist, Data Integration Specialist","Quartet","New York, NY 10018 (Clinton area)","NA",3,55.2,"The Data Integration Specialist will interact primarily with Quartet's new partner implementation leads and data engineers, as well as assorted Project Managers..."
"Statistical Analyst","San Bernardino County","San Bernardino, CA","$27.06 - $37.20 an hour",89,52.2,"Query data using SQL. Qualitative and Quantitative Data Analysis The test includes exercises in interpreting data output and writing a narrative of findings..."
"Data Science Solution Manager","ShortestTrack","Boston, MA","$50,000 - $60,000 a year",nan,nan,"The data science solution manager builds, manages, and administers a team of data scientists working to develop an artificial intelligence solution to specific..."
"Data Scientist | San Francisco | Model Development Group","Carbon Lighthouse","San Francisco, CA","NA",nan,nan,"The Data Scientists work closely with both our Software Developers as well as users in the Energy Modeling Group to define modeling needs and deliver a better..."
"Fixed Income Quantitative Research Analyst","UBS","Chicago, IL 60606 (Loop area)","NA",nan,44.4,"Strong programming skills (Matlab or R, VBA and SQL). Intellectually curious, accountable and data driven. Support the fixed income business with quantitative..."
"Technical Analyst","CareDash","Cambridge, MA","NA",nan,nan,"Use cutting edge machine learning and analytics to build software that minimizes repetitive tasks, enables the production of data analysis tools, internal..."
"Data Scientist - Product","Showtime","New York, NY 10176 (Murray Hill area)","NA",7,44.4,"The primary responsibility of the Product Data Scientist is to utilize machine learning and visualization techniques to drive insights and to help power data..."
"Data Scientist, Analyst","Moxie","Atlanta, GA","NA",19,43.8,"As a Data Scientist, you will have a critical role throughout the exploratory data analysis process using your business intuition and your strong technical..."
"Data Scientist (SAS)","UnitedHealth Group","Schaumburg, IL 60159","NA",nan,43.2,"The Healthcare Data Scientist is responsible for participating in the full array of analytics, clinical analytic consulting and applied analytic activities at..."
"Population Data Scientist II - Community Prevention & Interv...","UT Southwestern Medical Center","Dallas, TX 75390 (Northeast Dallas area)","NA",322,44.4,"Work with Project Analysts and Project Coordinators to provide complex data analysis and ensure the highest quality data and utilities are produced and project..."
"Data Scientist","IgnitionOne","Atlanta, GA","NA",10,41.4,"Have experience with predictive modelling / data mining / machine learning (e.g., MLlib, R)_. Advanced data management;..."
"Data Scientist","Mental Health Center of Denver","Denver, CO","$27 - $38 an hour",28,43.2,"SQL, R, Python (for data), Spark, Tableau. Within an assigned project, may oversee collaborating staff and ensure project requirements are being met...."
"Statistician","University of California San Francisco","San Francisco, CA","NA",188,52.2,"Knowledge of several statistical programs including R, Stata, and MS Excel is required to ensure the accuracy of study data, produce relevant datasets for..."
"Data Analyst","DEPARTMENT OF FINANCE","Brooklyn, NY","$70,286 - $80,829 a year",81,51.0,"Design and implement databases, data collection systems, data analytics. Use data mining strategies to understand core operational data...."
"Data Engineer","Red Hat, Inc.","Raleigh, NC","NA",119,51.0,"Modify, transform, clean, and normalize data so that it is usable by the team's data scientists and analysts...."
"UR - Optimized Operations ( O2 ) Statistician / Data Scienti...","3M","Maplewood, MN","NA",nan,51.6,"The O2 Program offers advanced development via fast paced training in Lean Six Sigma, advanced statistics, project leadership, supply chain principles, and..."
"Computational Scientist - Bioinformatics","UT Southwestern Medical Center","Dallas, TX 75390 (Northeast Dallas area)","NA",322,44.4,"Computational Scientist - Bioinformatics. Salary Salary Negotiable. Experience and Education Bachelor's degree in Computer Science or a related field and three ..."
"Research Analyst (Part Time)","Investopedia","New York, NY","NA",4,42.0,"Analyze research and survey results, identifying key insights within the data. Interpret and prepare visual presentation of data...."
"Marketing Data Analyst","American Botanical Pharmacy","Marina del Rey, CA 90292","NA",nan,nan,"Utilize SQL and ETL Tools to transforming different sources of data into analytics data stores. Proven working experience as a marketing data analyst, marketing..."
"Data Scientist - Institute for Human Caring","Providence Health & Services","Torrance, CA 90509","NA",859,43.2,"Providence Health & Services is the third largest not-for-profit health system in the United States...."
"Research Scientist - Deep Learning","Blue River Technology","Sunnyvale, CA 94085","NA",nan,nan,"3+ years in developing machine learning systems, with extensive experience on deep learning systems. In Computer Vision or Machine Learning...."
"Data Scientist supporting Immune-Oncology efforts!","Regeneron","Tarrytown, NY","NA",83,43.8,"Collaborate with scientists from the I/O focus therapeutic area and clinical departments to design profiling experiments and draft data analysis plans...."
"Data Scientist/Statistician, Data Trial Execution- RTP, NC","QuintilesIMS","Research Triangle Park, NC","NA",881,44.4,"NA"
"Machine Learning Engineer","Twitter","San Francisco, CA 94103 (South Of Market area)","NA",40,51.0,"BS, MS, or PhD in computer science, data mining, machine learning, information retrieval, recommendation systems, natural language processing, statistics, math,..."
"Data Scientist/ Data Engineer","Molex","Lisle, IL 60532","NA",281,44.4,"NA"
"Data Scientist","Altamira Technologies Corporation","Alexandria, VA","NA",4,42.0,"This is tricky because, in order to analyze the data, a strong Data Scientists should have a very broad knowledge of different techniques in machine learning,..."
"Principal Associate, Data Science","Capital One","Plano, TX","NA",nan,51.0,"Operations research, natural language processing, machine learning, deep learning, video/image analysis, or time-series analysis...."
"Associate Research Analyst","Fidelity Investments","Durham, NC","NA",nan,51.6,"Ability to work independently and manage multiple assignments at once. Expert in research methods and data sources...."
"Data Scientist","Creospan Solutions","Northbrook, IL","$80 - $100 an hour",nan,nan,"This includes development and execution of machine learning predictive modeling algorithms, the coding/development of tools that use machine learning/predictive..."
"Data Scientist I","Big Fish Games","Oakland, CA 94612 (Northgate area)","NA",13,44.4,"The Data Scientists are responsible for applying a wide variety of statistical and analytical techniques to business problems to glean valuable insights in..."
"Data Scientist","REX - Real Estate Exchange","Woodland Hills, CA 91367","NA",nan,nan,"NA"
"Data Scientist","Akima, LLC","Washington, DC","NA",166,43.8,"My SQL, Oracle JavaScript, XML, C++, R, Virtual Studio, Perl, VBA, SQL, Microsoft Access and Excel. Technical expertise regarding data models, database design..."
"Data Scientist","TrueMotion","Boston, MA","NA",nan,nan,"Successful candidates will be able to demonstrate a pragmatic, applied, scientific approach, ideally gained from broad and deep experience in statistics and..."
"Data Scientist","Siemens AG","Atlanta, GA","NA",nan,51.6,"O Proven experience with applied data analytics and machine learning. O Practical experience with data analytics in AWS, e.g. with Apache Spark...."
"Ford GDI&A Data Operations Analyst","Ford Motor Company","Dearborn, MI 48121","NA",nan,52.8,"In this role, you will support the data requirements of the Data Scientists who are using analytics to achieve business outcomes including insights to..."
"Statistical Modeling Scientist","Nestle USA","Arlington, VA","NA",863,43.2,"Statistical forecast scientists work within Supply Chain to develop complex predictive analytics and statistical forecasting models in enterprise forecasting..."
"Data Scientist - Boston","Suffolk Construction","Boston, MA","NA",32,51.6,"NA"
"Computational Sciences - Optimization Specialist","ExxonMobil","Houston, TX 77046 (Montrose area)","NA",nan,51.0,"We are looking for dynamic, creative, and resourceful individuals to join our research efforts in predictive and prescriptive analytics including but not..."
"Computational Sciences - Optimization Specialist","Exxon Mobil","Houston, TX","NA",nan,51.0,"We are looking for dynamic, creative, and resourceful individuals to join our research efforts in predictive and prescriptive analytics including but not..."
"Machine Learning Developer","KeyMe","New York, NY 10001 (Chelsea area)","NA",nan,nan,"KeyMe is a robotics company that uses computer vision and machine learning to bring innovation to the locksmith industry. We have two main products:...."
"Quantitative Research Associate - Full-Time Campus Hire","Two Sigma Investments, LLC.","New York, NY","NA",5,43.8,"Scientists in the truest sense, our quantitative research associates navigate the full research process. Applying quantitative techniques and market intuition..."
"Quantitative Analyst","First Republic Bank","San Francisco, CA","NA",76,51.6,"NA"
"Data Scientist","Oak Ridge Associated Universities","Washington, DC","NA",20,43.8,"The ideal candidate will be experienced in data compilation and statistical analysis, and knowledgeable of web scraping, machine learning, and data mining..."
"Data Scientist with NLP Experience","EXL","Jersey City, NJ","NA",nan,44.4,"The research will focus on creating state of the art, scalable, and self-learning systems for information extraction from documents This includes training and..."
"Data Scientist","Motion Partners","Reston, VA","$140,000 - $180,000 a year",nan,nan,"Data Science, Machine Learning, Analytics, Machine Learning, Python, Accumulo, Python, Terabyte, Hadoop, Big Data...."
"Advanced Analytics Consultant","Slalom Consulting","Seattle, WA 98104 (First Hill area)","NA",26,44.4,"Working knowledge of Python, R, or other advanced analytics platforms. Familiarity with advanced analytics techniques for unstructured data...."
"Data Scientist Analyst Sr","Lockheed Martin","Shelton, CT 06484","NA",nan,51.6,"The candidate will serve as a subject matter expert pertaining to aircraft maintenance, logistics, and operations to enable the group to translate field data..."
"Data Scientist","SoFi","San Francisco, CA","NA",20,40.8,"SoFi is seeking a Data Scientist to join our growing team of data scientist building a revolutionary client acquisition and personalization pipeline...."
"Data Scientist","Knewton","New York, NY","NA",2,42.0,"We are seeking a Data Scientist to join the Data Science team. Knewton provides students with tailored recommendations for exactly what to study, teachers with..."
"DATA SCIENTIST","University of Pennsylvania","Philadelphia, PA","NA",539,52.2,"Support Department of Ophthalmology research initiatives through querying, development, and maintenance of large, complex research datasets using the SQL..."
"Data Scientist","Cardinal Solutions Group","Cincinnati, OH","NA",6,55.2,"What Data Scientists Do. Development experience with R, Python, Azure Machine Learning, SAS, SPSS or related languages and tools...."
"Data Scientist","UTC Aerospace Systems","Charlotte, NC","NA",793,43.2,"Working knowledge and familiarity with statistical models, machine learning, data munging and scalable data mining techniques are essential...."
"Data Scientist","Savvysherpa","Minneapolis, MN","NA",nan,nan,"Deep knowledge of machine learning, data mining, and/or algorithms development, with an applied understanding of statistics...."
"Decision Scientist","Grubhub","Chicago, IL 60602 (Loop area)","NA",134,39.6,"Ability to query data sources directly using SQL like query languages from data warehouse Studied a technical, quantitative, or analytical field in school..."
"Data Scientist","CreditCards.com","Austin, TX 78759 (Arboretum area)","NA",3,52.8,"2+ years of relevant, professional experience in a data science, business analytics, business intelligence or comparable data engineering role, including data..."
"Data Scientist","ZeniMax Media","Rockville, MD 20850","NA",2,51.0,"The Data Scientist will be responsible for validating incoming data, facilitating creation of reports, aiding advanced Data Scientists in analytics, making sure..."
"Data Scientist","Adobe","San Jose, CA","NA",328,52.2,"As a Data Engineer/Scientist you will work to extract and organize large data sets to identify industry trends and benchmarks that will provide Adobe customers..."
"Cheminformatics Data Scientist","X-Chem","Waltham, MA 02453","NA",10,43.2,"Knowledge and practical application of machine learning algorithms and data analytics. Position Cheminformatics Data Scientist...."
